,links,dates,header,body,b_points
26,https://seniorsfirstbc.ca/news/new-legal-information-resource/,"April 17th, 2015",New Legal Information Resource,"BC has a new legal information resource – a Dial-A-Law ‘wikibook.’  What does this mean? Dial-A-Law is a free legal information service.  You used to be able to call them up, and the person on the line would listen to your issue and then play the relevant tape providing you with legal information on that topic.  The Dial-A-Law program had its funding cut, and there are no longer staff answering a phone line.  There is still an automated phone service available, but you will have to work through an ‘automated attendant’ to find the topic and script your are looking for. Lawyers with the Canadian Bar Association are keeping the information up to date and available to the public on the phone, but also online. There are more than 130 topics!  Funding is provided by the Law Foundation of BC.   The scripts for these topics are reviewed and updated as necessary, and the tapes are now available online, as well as over the phone, as MP3 files you can listen to.   The scripts are also available to be read online or printed off from your computer.   The scripts and MP3 files are available in English, Simplified Chinese and Punjabi. The topics cover the following legal areas: Some scripts of particular relevance to older adults are:150What Happens When Your Spouse Dies –Audio176Making a Will and Estate Planning –Audio177What Happens When You Die Without a Will?178Your Duties As Executor –Audio179The Disappointed Beneficiary180Power of Attorney and Representation Agreements –Audio217Applying for a Peace Bond and Filing Assault Charges –Audio270Protection Against Job Discrimination245Your Bank Account –Audio248Co-Signing or Guaranteeing a Loan –Audio255Door-to-Door Sales, Time-Shares and Contracts You Can Cancel –Audio256Shopping by Phone, Mail or the Internet –Audio257Buying Defective Goods –Audio258Receiving Unsatisfactory Services –Audio260Dishonest Business Practices and Schemes –Audio235Freedom of Information & Protection of Privacy –Audio236Human Rights & Discrimination Protection –Audio239Senior Law and Elder Abuse –Audio420Medical Malpractice –Audio421Getting Your Medical Records –Audio423Making a Complaint Against Your Doctor –Audio425Hospitalizing a Mentally Ill Person –Audio426Committeeship –Audio428Adults and Consent to Medical Care –Audio435Choosing a Lawyer –Audio436If You Have a Problem With Your Lawyer –Audio438Lawyers’ Fees –AudioThese scripts have all now been gathered together into a ‘wikibook’ – an electronic online version of a book – with ‘hyperlinks’ to the various sections.  With a wikibook you can easily jump to the various topics.  It is also easy to keep a ‘wikibook’ updated online.   Individual topics in the wikibook can be read and printed out.  The full wikibook can also be downloaded in pdf format, or in ‘EPUB’ format.  Here is a screenshot of the wikibook main page:At this time the wikibook is only available in English.  For Dial-A-Law scripts and recordings in Chinese or Punjabi, you still go to the CBA’s Dial-A-Law webpage here:http://www.cbabc.org/For-the-Public/Dial-A-Law.  The automated phone service is available in English and Chinese. You can call Dial-A-Law to go through the automated attendant and listen to a script by calling 604-687-4680 in the lower mainland, and 1-800-565-5297 elsewhere in BC. Clicklaw has numerous ‘wikibooks’ now on various topics including: family law;getting legal help in BC; tenant survival guide; a death in the family; consumer law; driving in BC; human trafficking in Canada; learning about the law; paying taxes; workplace bullying and harassment; being an executor; family violence and abuse; writing your will; power of attorney; legal issues in residential care (from Seniors First BC); etc.  Many of these wikibooks are published by the People’s Law School. The main page on Clicklaw to access these various wikibooks is here:http://wiki.clicklaw.bc.ca/index.php/Clicklaw_Wikibooks","Family Law Small Claims Court Wills and Estates Automobiles Criminal Law Housing Employment and Social Benefits Credit, Debt and Consumer Commercial Law Your Rights  · Health Law Lawyers, Legal Services and Courts"
27,https://seniorsfirstbc.ca/news/a-national-strategy-on-seniors-health-care/,"February 6th, 2015",A National Strategy on Seniors Health Care?,"The Canadian Medical Association (CMA) and Canadian Association of Retired People (CARP) are pushing for a national strategy on seniors’ health care.  In preparation for their campaign, they had Ipsos Reid conduct a survey of Canadians about health care concerns later in life, in 2014.  The results of that poll are summarized in the following ‘report card’ infographic below.They want to ensure candidates in federal by-elections and the upcoming general election consider seniors’ health care issues, specifically the following twelve issues: Besides the Ipsos-Reid poll of Canadians about health care concerns for seniors, they also had specific polling done in 26 “key” ridings where the winning candidate won by 3% or less of the vote.   The results are shown in this infographic from the CMA: Polling in ‘key ridings’ in the upcoming federal election about health care issues for seniors. With regard to long term care, the following infographic provides some information about older adults receiving long term care, and about those providing care, as well as some of the issues from their two different perspectives:For more information about this campaign and a national health care strategy, seewww.demandaplan.ca/",
28,https://seniorsfirstbc.ca/news/e-book-understanding-and-responding-to-elder-abuse/,"November 1st, 2014",E-Book: Understanding and Responding to Elder Abuse,"TheUnderstanding and Responding to Elder Abuse E-Bookis designed for workers in B.C. who work with older adults who have been abused and neglected. The E-Book covers types of elder abuse and risk factors, B.C. government programs and community services available for older adults who are abused and neglected, and practice tips on how to work with older adults who have been abused. The E-Book also includes resources, information, links, video interviews with local stakeholders, and role play video scenarios on how to address different types of elder abuse.Click here to access the e-book.",
29,https://seniorsfirstbc.ca/news/https-www-seniorsadvocatebc-ca/,"October 27th, 2014",Office of the Seniors Advocate BC,"The Office of the Seniors Advocate describes its mandate as follows: The Office of the Seniors Advocate monitors and analyzes seniors’ services and issues in B.C., and makes recommendations to government and service providers to address systemic issues. The Office also provides information and referrals for individuals who are navigating seniors’ services and tracks their concerns, which helps inform future work. The services which the Office monitors are in five key areas: health care, housing, income supports, personal supports and transportation. The Office collaborates with service providers, government and health authorities to improve effectiveness, efficiency and outcomes. A council of advisers, made up of B.C. seniors, provides the Seniors Advocate with advice and feedback from the perspective of seniors with diverse backgrounds, ages, geographical areas and cultures. REPORTS AND PUBLICATIONS Each year, the Seniors Advocate must report to the Minister of Health on the Office’s activities, and reports whenever possible on issues and matters arising from the Office’s work.Reports and Publications. The Seniors Advocate has produced reports on the five key areas. To access these reports or find out more about the Seniors Advocate, go to theOffice of the Seniors Advocate BC website",
30,https://seniorsfirstbc.ca/news/government-of-canada-action-for-seniors-report/,"September 18th, 2014",Government of Canada – Action for Seniors Report,"National Seniors Day is coming up on October 1 and the Government of Canada’s Action for Seniors Report has been presented by the Honourable Alice Wong, Minister of State for Seniors. In her words: The report is the result of an extensive collaboration with 22 federal departments and agencies and reflects the wide-ranging nature of seniors’ issues that cuts across these organizations. It highlights the many programs and resources available for seniors, ranging from help in combating elder abuse to government supports that ensure seniors’ financial security. I am proud of our commitment to the well-being of Canada’s seniors and I look forward to continuing to work with all levels of government, seniors and seniors’ organizations and with other stakeholders to develop other policies and programs related to seniors. Click here to access the report.You can also visithttp://www.seniors.gc.ca/for more information on programs and initiatives for seniors in Canada.",
31,https://seniorsfirstbc.ca/news/video-could-i-borrow-20-dollars-lee-anne-davies-at-tedxvictoria-2013/,"March 8th, 2014",Video: Could I borrow 20 dollars? Lee Anne Davies at TEDxVictoria 2013,"Click the following link to watch a talk given at the TEDxVictoria 2013 event on the financial exploitation of older adults. The talk is given by Lee Anne Davies, who has a PhD in Aging, Health, and Well-Being, and is the author of the upcoming bookWhen Life Bites You in the Wallet: The Human Side of Getting Your Money Under Control.https://www.youtube.com/watch?v=yegboxSb3uM&list=PLsRNoUx8w3rO-AXiRYZ7SkZNVclCTBf6g&index=7",
32,https://seniorsfirstbc.ca/news/the-spring-scrivener-2013/,"July 31st, 2013",The Spring Scrivener 2013,"Click hereto read the Spring 2013 edition ofThe Scrivener, a magazine published by the Society of Notaries Public of British Columbia, featuring an article about Powers of Attorney by our lawyer Kevin Smith. The article can be found starting on Page 38.http://www.notaries.bc.ca/resources/scrivener/Spring2013/pdf/Scriv_Spring%2013-online.pdf",
33,https://seniorsfirstbc.ca/news/research-study-on-supportive-healthcare-decision-making-for-diverse-populations/,"July 5th, 2013",Research Study on Supportive Healthcare Decision Making for Diverse Populations,"The following is a letter from Providence Health Care:  Researchers at the University of British Columbia are interested in talking to patients and/or their family members from diverse economic, cultural, and linguistic backgrounds about their views on making important and/or difficult healthcare decisions.  You may be eligible to take part in the study if you are an adult who has engaged in complex decision-making about your own healthcare, or has been a surrogate decision maker on behalf of a loved one.  The study will involve one 45-60 minute (longer if interpreters are used) in-person interview at a time and location that is convenient for you. We are also able to accommodate telephone interviews or interviews on line via Skype. You will receive a $15 gift card in appreciation of your time and participation.  This research study is funded by the Canadian Institute of Health Research (CIHR), and has received approval from UBC’s Behavioural Research Ethics Board.  If you would like more information about this research study and/or to arrange to participate in the research, please contact the project research assistant, Kim Taylor:taylorka@exchange.ubc.ca.  You may also contact the Principal Investigator, Dr Anita Ho:anita.ho@ubc.ca Anita Ho, PhD Associate Professor, Centre for Applied Ethics, UBC Director, Ethics Services, Providence Health Care 604-822-4049 (Office)anita.ho@ubc.ca",
34,https://seniorsfirstbc.ca/news/bc-launches-elder-abuse-prevention-strategy-bc-newsroom-march-6-2013/,"March 6th, 2013","BC launches elder abuse prevention strategy – BC Newsroom (March 6, 2013)",http://www.flickr.com/photos/bcgovphotos/8535372120/in/photostream/,
35,https://seniorsfirstbc.ca/news/incapacitated-and-alone-healthcare-decision-making-for-unbefriended-older-people/,"January 18th, 2013","Incapacitated and Alone: Healthcare Decision Making for Unbefriended Older People – American Bar Association Commission on Law and Aging, Vol 31 No. 2",http://www.americanbar.org/publications/human_rights_magazine_home/human_rights_vol31_2004/spring2004/hr_spring04_incapacitated.html,
36,https://seniorsfirstbc.ca/news/abuse-prevention-program-for-older-adults-the-scrivener-winter-2012-issue/,"January 14th, 2013",Abuse Prevention Program for Older Adults – The Scrivener (Winter 2012 issue),"Great article in Winter 2012 edition of The Scrivener published the Society of Notaries Public of British Columbia, a quarterly publication.  Clickhere.",
37,https://seniorsfirstbc.ca/news/are-bankrupt-seniors-harbingers-of-things-to-come-cbc-news/,"June 29th, 2012",Are bankrupt seniors harbingers of things to come? – CBC News,"Many Canadians in their so-called golden years find themselves struggling to make ends meet. The rate of insolvency for those over 65 soared by 1747 per cent from 1990 to 2010, according to the latest family finances report by Vanier Institute of the Family. Click on the link below to read full story:http://www.cbc.ca/news/canada/story/2012/06/22/f-bankrupt-seniors.html",
38,https://seniorsfirstbc.ca/news/provincial-government-report-on-use-of-anti-psychotic-drugs-in-residential-care-facilities/,"January 12th, 2012",Provincial Government Report on Use of Anti-Psychotic Drugs in Residential Care Facilities,"The December 2011 report documents the process and findings of a review of issues associated with the prescription of antipsychotic medications for elderly residents of residential care facilities in British Columbia. The Ministry of Health undertook the review at the direction of the Minister of Health, in response to public concerns including a complaint raised by a family whose mother was in residential care in the Fraser Valley.Click here to read full report",
